no,fetch,update,vm_id,vm_name,cpu_usage,max_cpu,mem_usage,max_mem,cum_netin,cum_netout,rate_netin,rate_netout,bw_usage,max_bw,score,priority,unix_timestamp,timestamp
1,1,1,204,laos-4,0.0500302779535065,1,0.8678436279296875,1073741824,35530652,2544248159,0,0,0,12500000,0.917873905883194,4,1748226610,2025-05-26 09:30:10
2,1,1,201,laos-1,0.0404500119624095,1,0.8276138305664062,1073741824,35238753,2569710416,0,0,0,12500000,0.8680638425288157,1,1748226610,2025-05-26 09:30:10
3,1,1,202,laos-2,0.0415144859614203,1,0.8726463317871094,1073741824,35655513,2571555434,0,0,0,12500000,0.9141608177485296,3,1748226610,2025-05-26 09:30:10
4,1,1,203,laos-3,0.0415144859614203,1,0.8659324645996094,1073741824,34118775,2553770760,0,0,0,12500000,0.9074469505610296,2,1748226610,2025-05-26 09:30:10
5,2,1,201,laos-1,0.0404500119624095,1,0.8276138305664062,1073741824,35238753,2569710416,0,0,0,12500000,0.8680638425288157,1,1748226611,2025-05-26 09:30:11
6,2,1,202,laos-2,0.0415144859614203,1,0.8726463317871094,1073741824,35655513,2571555434,0,0,0,12500000,0.9141608177485296,3,1748226611,2025-05-26 09:30:11
7,2,1,203,laos-3,0.0415144859614203,1,0.8659324645996094,1073741824,34118775,2553770760,0,0,0,12500000,0.9074469505610296,2,1748226611,2025-05-26 09:30:11
8,2,1,204,laos-4,0.0500302779535065,1,0.8678436279296875,1073741824,35530652,2544248159,0,0,0,12500000,0.917873905883194,4,1748226611,2025-05-26 09:30:11
9,3,2,201,laos-1,0.0451875855581117,1,0.8276138305664062,1073741824,35241157,2569928041,2388.6429368305294,216234.7833310083,0.017489874101427105,12500000,0.890291290225945,3,1748226612,2025-05-26 09:30:12
10,3,2,202,laos-2,0.0461490235487098,1,0.8726463317871094,1073741824,35658091,2571782973,2561.5314023082797,226085.45141575782,0.018291758625445288,12500000,0.9370871139612644,4,1748226612,2025-05-26 09:30:12
11,3,2,203,laos-3,0.0461490235487098,1,0.8659324645996094,1073741824,34121101,2553941719,2311.1412109267103,169866.8917793721,0.013774242639223904,12500000,0.925855730787543,1,1748226612,2025-05-26 09:30:12
12,3,2,204,laos-4,0.0442261475675135,1,0.8678436279296875,1073741824,35533164,2544452788,2495.953018851202,203321.80346118734,0.016465420518403082,12500000,0.9285351960156041,2,1748226612,2025-05-26 09:30:12
13,4,2,201,laos-1,0.0451875855581117,1,0.8276138305664062,1073741824,35241157,2569928041,2388.6429368305294,216234.7833310083,0.017489874101427105,12500000,0.890291290225945,3,1748226613,2025-05-26 09:30:13
14,4,2,202,laos-2,0.0461490235487098,1,0.8726463317871094,1073741824,35658091,2571782973,2561.5314023082797,226085.45141575782,0.018291758625445288,12500000,0.9370871139612644,4,1748226613,2025-05-26 09:30:13
15,4,2,203,laos-3,0.0461490235487098,1,0.8659324645996094,1073741824,34121101,2553941719,2311.1412109267103,169866.8917793721,0.013774242639223904,12500000,0.925855730787543,1,1748226613,2025-05-26 09:30:13
16,4,2,204,laos-4,0.0442261475675135,1,0.8678436279296875,1073741824,35533164,2544452788,2495.953018851202,203321.80346118734,0.016465420518403082,12500000,0.9285351960156041,2,1748226613,2025-05-26 09:30:13
17,5,2,201,laos-1,0.0451875855581117,1,0.8276138305664062,1073741824,35241157,2569928041,2388.6429368305294,216234.7833310083,0.017489874101427105,12500000,0.890291290225945,3,1748226614,2025-05-26 09:30:14
18,5,2,202,laos-2,0.0461490235487098,1,0.8726463317871094,1073741824,35658091,2571782973,2561.5314023082797,226085.45141575782,0.018291758625445288,12500000,0.9370871139612644,4,1748226614,2025-05-26 09:30:14
19,5,2,203,laos-3,0.0461490235487098,1,0.8659324645996094,1073741824,34121101,2553941719,2311.1412109267103,169866.8917793721,0.013774242639223904,12500000,0.925855730787543,1,1748226614,2025-05-26 09:30:14
20,5,2,204,laos-4,0.0442261475675135,1,0.8678436279296875,1073741824,35533164,2544452788,2495.953018851202,203321.80346118734,0.016465420518403082,12500000,0.9285351960156041,2,1748226614,2025-05-26 09:30:14
21,6,2,201,laos-1,0.0451875855581117,1,0.8276138305664062,1073741824,35241157,2569928041,2388.6429368305294,216234.7833310083,0.017489874101427105,12500000,0.890291290225945,3,1748226615,2025-05-26 09:30:15
22,6,2,202,laos-2,0.0461490235487098,1,0.8726463317871094,1073741824,35658091,2571782973,2561.5314023082797,226085.45141575782,0.018291758625445288,12500000,0.9370871139612644,4,1748226615,2025-05-26 09:30:15
23,6,2,203,laos-3,0.0461490235487098,1,0.8659324645996094,1073741824,34121101,2553941719,2311.1412109267103,169866.8917793721,0.013774242639223904,12500000,0.925855730787543,1,1748226615,2025-05-26 09:30:15
24,6,2,204,laos-4,0.0442261475675135,1,0.8678436279296875,1073741824,35533164,2544452788,2495.953018851202,203321.80346118734,0.016465420518403082,12500000,0.9285351960156041,2,1748226615,2025-05-26 09:30:15
25,7,2,201,laos-1,0.0451875855581117,1,0.8276138305664062,1073741824,35241157,2569928041,2388.6429368305294,216234.7833310083,0.017489874101427105,12500000,0.890291290225945,3,1748226616,2025-05-26 09:30:16
26,7,2,202,laos-2,0.0461490235487098,1,0.8726463317871094,1073741824,35658091,2571782973,2561.5314023082797,226085.45141575782,0.018291758625445288,12500000,0.9370871139612644,4,1748226616,2025-05-26 09:30:16
27,7,2,203,laos-3,0.0461490235487098,1,0.8659324645996094,1073741824,34121101,2553941719,2311.1412109267103,169866.8917793721,0.013774242639223904,12500000,0.925855730787543,1,1748226616,2025-05-26 09:30:16
28,7,2,204,laos-4,0.0442261475675135,1,0.8678436279296875,1073741824,35533164,2544452788,2495.953018851202,203321.80346118734,0.016465420518403082,12500000,0.9285351960156041,2,1748226616,2025-05-26 09:30:16
29,8,2,202,laos-2,0.0461490235487098,1,0.8726463317871094,1073741824,35658091,2571782973,2561.5314023082797,226085.45141575782,0.018291758625445288,12500000,0.9370871139612644,4,1748226617,2025-05-26 09:30:17
30,8,2,203,laos-3,0.0461490235487098,1,0.8659324645996094,1073741824,34121101,2553941719,2311.1412109267103,169866.8917793721,0.013774242639223904,12500000,0.925855730787543,1,1748226617,2025-05-26 09:30:17
31,8,2,204,laos-4,0.0442261475675135,1,0.8678436279296875,1073741824,35533164,2544452788,2495.953018851202,203321.80346118734,0.016465420518403082,12500000,0.9285351960156041,2,1748226617,2025-05-26 09:30:17
32,8,2,201,laos-1,0.0451875855581117,1,0.8276138305664062,1073741824,35241157,2569928041,2388.6429368305294,216234.7833310083,0.017489874101427105,12500000,0.890291290225945,3,1748226617,2025-05-26 09:30:17
33,9,2,201,laos-1,0.0451875855581117,1,0.8276138305664062,1073741824,35241157,2569928041,2388.6429368305294,216234.7833310083,0.017489874101427105,12500000,0.890291290225945,3,1748226618,2025-05-26 09:30:18
34,9,2,202,laos-2,0.0461490235487098,1,0.8726463317871094,1073741824,35658091,2571782973,2561.5314023082797,226085.45141575782,0.018291758625445288,12500000,0.9370871139612644,4,1748226618,2025-05-26 09:30:18
35,9,2,203,laos-3,0.0461490235487098,1,0.8659324645996094,1073741824,34121101,2553941719,2311.1412109267103,169866.8917793721,0.013774242639223904,12500000,0.925855730787543,1,1748226618,2025-05-26 09:30:18
36,9,2,204,laos-4,0.0442261475675135,1,0.8678436279296875,1073741824,35533164,2544452788,2495.953018851202,203321.80346118734,0.016465420518403082,12500000,0.9285351960156041,2,1748226618,2025-05-26 09:30:18
37,10,2,201,laos-1,0.0451875855581117,1,0.8276138305664062,1073741824,35241157,2569928041,2388.6429368305294,216234.7833310083,0.017489874101427105,12500000,0.890291290225945,3,1748226619,2025-05-26 09:30:19
38,10,2,202,laos-2,0.0461490235487098,1,0.8726463317871094,1073741824,35658091,2571782973,2561.5314023082797,226085.45141575782,0.018291758625445288,12500000,0.9370871139612644,4,1748226619,2025-05-26 09:30:19
39,10,2,203,laos-3,0.0461490235487098,1,0.8659324645996094,1073741824,34121101,2553941719,2311.1412109267103,169866.8917793721,0.013774242639223904,12500000,0.925855730787543,1,1748226619,2025-05-26 09:30:19
40,10,2,204,laos-4,0.0442261475675135,1,0.8678436279296875,1073741824,35533164,2544452788,2495.953018851202,203321.80346118734,0.016465420518403082,12500000,0.9285351960156041,2,1748226619,2025-05-26 09:30:19
41,11,2,202,laos-2,0.0461490235487098,1,0.8726463317871094,1073741824,35658091,2571782973,2561.5314023082797,226085.45141575782,0.018291758625445288,12500000,0.9370871139612644,4,1748226620,2025-05-26 09:30:20
42,11,2,203,laos-3,0.0461490235487098,1,0.8659324645996094,1073741824,34121101,2553941719,2311.1412109267103,169866.8917793721,0.013774242639223904,12500000,0.925855730787543,1,1748226620,2025-05-26 09:30:20
43,11,2,204,laos-4,0.0442261475675135,1,0.8678436279296875,1073741824,35533164,2544452788,2495.953018851202,203321.80346118734,0.016465420518403082,12500000,0.9285351960156041,2,1748226620,2025-05-26 09:30:20
44,11,2,201,laos-1,0.0451875855581117,1,0.8276138305664062,1073741824,35241157,2569928041,2388.6429368305294,216234.7833310083,0.017489874101427105,12500000,0.890291290225945,3,1748226620,2025-05-26 09:30:20
45,12,2,204,laos-4,0.0442261475675135,1,0.8678436279296875,1073741824,35533164,2544452788,2495.953018851202,203321.80346118734,0.016465420518403082,12500000,0.9285351960156041,2,1748226621,2025-05-26 09:30:21
46,12,2,201,laos-1,0.0451875855581117,1,0.8276138305664062,1073741824,35241157,2569928041,2388.6429368305294,216234.7833310083,0.017489874101427105,12500000,0.890291290225945,3,1748226621,2025-05-26 09:30:21
47,12,2,202,laos-2,0.0461490235487098,1,0.8726463317871094,1073741824,35658091,2571782973,2561.5314023082797,226085.45141575782,0.018291758625445288,12500000,0.9370871139612644,4,1748226621,2025-05-26 09:30:21
48,12,2,203,laos-3,0.0461490235487098,1,0.8659324645996094,1073741824,34121101,2553941719,2311.1412109267103,169866.8917793721,0.013774242639223904,12500000,0.925855730787543,1,1748226621,2025-05-26 09:30:21
49,13,3,201,laos-1,0.0451423948599501,1,0.8276138305664062,1073741824,35243549,2570117956,2379.242501705853,188902.10690278723,0.015302507952359446,12500000,0.8880587333787158,1,1748226622,2025-05-26 09:30:22
50,13,3,202,laos-2,0.0441819183735681,1,0.8726463317871094,1073741824,35660821,2571996040,2715.4398117295063,211930.62797280977,0.017171685422763143,12500000,0.9339999355834406,3,1748226622,2025-05-26 09:30:22
51,13,3,203,laos-3,0.0470633478327139,1,0.8659324645996094,1073741824,34124257,2554213493,3139.1677823510336,270324.5199241666,0.021877095016521412,12500000,0.9348729074488448,4,1748226622,2025-05-26 09:30:22
52,13,3,204,laos-4,0.0422609654008043,1,0.8678436279296875,1073741824,35535676,2544664267,2498.602493430227,210351.09741565722,0.017027975992726995,12500000,0.9271325693232187,2,1748226622,2025-05-26 09:30:22
53,14,3,201,laos-1,0.0451423948599501,1,0.8276138305664062,1073741824,35243549,2570117956,2379.242501705853,188902.10690278723,0.015302507952359446,12500000,0.8880587333787158,1,1748226623,2025-05-26 09:30:23
54,14,3,202,laos-2,0.0441819183735681,1,0.8726463317871094,1073741824,35660821,2571996040,2715.4398117295063,211930.62797280977,0.017171685422763143,12500000,0.9339999355834406,3,1748226623,2025-05-26 09:30:23
55,14,3,203,laos-3,0.0470633478327139,1,0.8659324645996094,1073741824,34124257,2554213493,3139.1677823510336,270324.5199241666,0.021877095016521412,12500000,0.9348729074488448,4,1748226623,2025-05-26 09:30:23
56,14,3,204,laos-4,0.0422609654008043,1,0.8678436279296875,1073741824,35535676,2544664267,2498.602493430227,210351.09741565722,0.017027975992726995,12500000,0.9271325693232187,2,1748226623,2025-05-26 09:30:23
